timestamp,symbol,trendscore,supertrend,sma8,sma21
2026-01-26 23:11:58,RECALLUSDT,65,buy,0.080708,0.080577
2026-01-26 23:11:58,REDUSDT,25,sell,0.249891,0.249814
2026-01-26 23:11:58,RENDERUSDT,90,buy,1.90785,1.906081
2026-01-26 23:11:59,RESOLVUSDT,20,sell,0.118094,0.118644
2026-01-26 23:11:59,REZUSDT,65,sell,0.004592,0.004581
2026-01-26 23:12:00,RIVERUSDT,0,sell,79.907125,80.749667
2026-01-26 23:12:01,RLSUSDT,55,buy,0.007878,0.007865
2026-01-26 23:12:01,ROAMUSDT,55,buy,0.031731,0.031749
2026-01-26 23:12:02,RONINUSDT,100,buy,0.153468,0.153107
2026-01-26 23:12:02,ROSEUSDT,55,buy,0.018605,0.018586
2026-01-26 23:12:03,RPLUSDT,30,sell,2.022775,2.022657
2026-01-26 23:12:03,RSRUSDT,60,sell,0.002355,0.00235
2026-01-26 23:12:04,RUNEUSDT,40,sell,0.56785,0.567252
2026-01-26 23:12:05,RVNUSDT,65,buy,0.007104,0.007108
2026-01-26 23:12:05,SAFEUSDT,10,buy,0.162501,0.16268
2026-01-26 23:12:06,SAHARAUSDT,75,buy,0.023881,0.023849
2026-01-26 23:12:06,SANDUSDT,15,sell,0.135769,0.136093
2026-01-26 23:12:06,SAPIENUSDT,25,sell,0.120866,0.120788
2026-01-26 23:12:07,SAROSUSDT,0,sell,0.001816,0.001823
2026-01-26 23:12:07,SCRTUSDT,35,buy,0.1518,0.15199
2026-01-26 23:12:07,SCRUSDT,0,sell,0.076571,0.076495
2026-01-26 23:12:08,SDUSDT,90,sell,0.227538,0.2272
2026-01-26 23:12:08,SEIUSDT,80,buy,0.106022,0.105937
2026-01-26 23:12:09,SENTUSDT,30,buy,0.026283,0.026294
2026-01-26 23:12:09,SHELLUSDT,0,sell,0.044224,0.044286
2026-01-26 23:12:10,SHIB1000USDT,80,buy,0.007769,0.007762
2026-01-26 23:12:11,SKLUSDT,40,sell,0.00975,0.00974
2026-01-26 23:12:11,SKRUSDT,45,sell,0.026891,0.026792
2026-01-26 23:12:12,SKYAIUSDT,25,sell,0.039519,0.039536
2026-01-26 23:12:12,SKYUSDT,55,buy,0.06451,0.06459
2026-01-28 01:52:23,0GUSDT,85,buy,0.843875,0.841819
2026-01-28 01:52:23,1000000MOGUSDT,95,buy,0.245499,0.245234
2026-01-28 01:52:23,1000BONKUSDT,55,sell,0.008801,0.008798
2026-01-28 01:52:23,1000FLOKIUSDT,95,buy,0.041754,0.041753
2026-01-28 01:52:23,1000NEIROCTOUSDT,95,buy,0.114364,0.114295
2026-01-28 01:52:23,1000PEPEUSDT,85,buy,0.004993,0.004992
2026-01-28 01:52:23,1000RATSUSDT,30,buy,0.058206,0.058259
2026-01-28 01:52:23,1000TAGUSDT,55,buy,0.388,0.388076
2026-01-28 01:52:23,1000TOSHIUSDT,100,buy,0.286913,0.286867
2026-01-28 01:52:23,1000TURBOUSDT,60,buy,1.511838,1.51259
2026-01-28 01:52:23,1000XUSDT,60,buy,0.017041,0.017044
2026-01-28 01:52:23,1INCHUSDT,45,sell,0.115218,0.115172
2026-01-28 01:52:23,2ZUSDT,100,buy,0.120049,0.119996
2026-01-28 01:52:23,4USDT,30,sell,0.018278,0.018299
2026-01-28 01:52:23,A2ZUSDT,95,buy,0.001351,0.001351
2026-01-28 01:52:23,AAVEUSDT,95,buy,157.5225,157.472381
2026-01-28 01:52:23,ACHUSDT,85,buy,0.01044,0.010439
2026-01-28 01:52:23,ACTUSDT,45,sell,0.02219,0.022174
2026-01-28 01:52:23,ACUUSDT,30,buy,0.201013,0.201645
2026-01-28 01:52:23,ADAUSDT,45,sell,0.35675,0.356695
2026-01-28 01:52:23,AERGOUSDT,45,sell,0.060254,0.060244
2026-01-28 01:52:23,AEROUSDT,85,buy,0.459487,0.458962
2026-01-28 01:52:23,AGIUSDT,70,buy,0.015246,0.015249
2026-01-28 01:52:23,AGLDUSDT,45,sell,0.27935,0.27901
2026-01-28 01:52:23,AINUSDT,45,sell,0.038898,0.038934
2026-01-28 01:52:23,AIXBTUSDT,95,buy,0.030579,0.030576
2026-01-28 01:52:23,AKEUSDT,0,sell,0.000387,0.000388
2026-01-28 01:52:23,AKTUSDT,45,sell,0.451875,0.451519
2026-01-28 01:52:23,ALCHUSDT,85,buy,0.108311,0.108064
2026-01-28 01:52:23,ALGOUSDT,55,buy,0.122182,0.12214
2026-01-28 01:52:23,ALLOUSDT,85,buy,0.087979,0.087918
2026-01-28 01:52:23,ALTUSDT,30,sell,0.011346,0.011347
